identifier,text,speaker,next,options,reward
0,你注意到了一个穿着速干西服的羸弱男孩，他正盯着面前的一杯廉价波本威士忌，专注得好像里面悬浮着某种决定人类命运的密码，他的面容在忽明忽暗的灯影里显得支离破碎。,thought,1,,
1,不过是一个迷失在这座城市的灵魂罢了。,narrator,,2|3,
2,这不是我要找的人。,me,,,
3,先生，恕我冒昧。,me,4,,
4,他看了看你，显然不打算在你身上浪费精力。,thought,5,,
5,你或许没有他想要的东西。,thought,6,,
6,你好，先生，有什么问题吗？,this,,7|8,
7,你认识我吗？,me,9,,
8,给我讲讲有关这里的事儿。,me,20,,
9,我想我应该不认识您，很显然，您是个外乡人。,this,10,,
10,还是说你觉得我应该认识你吗，但恕我直言，你这样的美国佬我见得多了，但一个都记不住，因为你们都是从一个操蛋模子里刻出来的。,this,11,,
11,他喝得烂醉，这或许给了他勇气，让他冒着被你这种“糙汉”胖揍一顿的风险挑衅你。要我说他说的没错，你们就是一个混球遇上了另一个混球。,narrator,12|12.2,,
12,和他坦白吧，你知道他那档子事。,narrator,13,,
12.2,别自讨没趣了。,narrator,,,
13,我听说你在写一篇关于美国地下邮政系统的论文？,me,14,,
14,我想和你打听一下这个“特里斯特罗”。,me,15,,
15,我猜想你愿意和我做笔交易。,me,16,,
16,这倒是没说错，哪个蠢蛋告诉你的？,this,17,,
17,我的确有在进行这方面的研究，不过和我刚才说的一样，我对你这样的人不抱有什么幻想。,this,18,,
18,我在做的是真正有价值的事情，而你只是一个抽着大烟只会无脑蠢嗨的嬉皮。,this,19,,
19,别在这里烦我。,this,,,
20,你在逗我吗？我很忙，想找茬的话去找别人吧。,this,,,
